date;heure;PA01H;ARG;EVRY;GEN;LOGNES;MELUN;VILLEM;PA15L;A1;DEF;GON;PA13;VERS;RUR-SE;CHAMP;PA18;OPERA;BOB;MANT;STDEN;RN6;RN20;AUT;BONAP;RUR-SO;HAUS;VITRY;RN2;SOULT;BASCH;CELES;ELYS;MONTG;NEUIL;PA12;BP_EST;AUB;EIFF3;PA07;TREMB
;;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3
2020-01-25;1;54;45;35;60;30;29;34;61;63;n/d;45;42;55;20;37;55;75;40;49;46;36;58;79;n/d;38;74;48;51;42;87;61;63;36;58;45;56;47;6;63;34
2020-01-25;2;56;45;35;60;29;27;33;59;55;n/d;44;44;52;16;32;58;70;43;47;44;32;50;81;n/d;41;74;45;53;39;89;60;65;38;59;44;61;51;5;58;34
2020-01-25;3;57;42;34;58;29;27;34;56;56;n/d;48;44;49;16;32;56;67;42;47;44;28;54;71;n/d;38;68;47;54;39;79;50;64;34;59;41;56;51;5;60;50
2020-01-25;4;55;42;37;51;26;25;39;60;51;n/d;39;42;53;14;30;52;62;47;47;40;29;54;79;n/d;36;65;46;54;47;76;57;59;38;58;46;66;48;5;56;35
2020-01-25;5;49;38;34;43;26;24;40;60;52;n/d;29;50;53;13;30;44;53;41;46;37;29;64;n/d;n/d;37;55;48;51;54;71;58;50;35;52;57;75;42;4;49;25
2020-01-25;6;35;31;37;35;23;24;26;48;39;n/d;26;46;56;13;27;33;40;25;43;25;39;51;n/d;n/d;34;44;51;40;35;64;54;36;31;42;43;61;29;31;35;25
2020-01-25;7;29;30;32;31;22;23;26;39;52;n/d;29;32;50;15;25;30;37;25;43;24;42;53;n/d;n/d;36;43;41;39;29;55;44;37;26;41;32;51;29;24;28;26
2020-01-25;8;35;28;30;35;25;23;26;38;52;n/d;37;33;45;17;28;33;45;26;43;28;42;42;61;n/d;43;48;34;41;29;65;49;43;27;46;33;68;30;5;30;25
2020-01-25;9;37;31;29;42;31;23;26;40;63;n/d;28;36;43;16;28;43;51;29;45;30;48;61;68;n/d;41;55;37;46;33;69;43;44;29;46;34;67;35;7;34;25
2020-01-25;10;37;35;29;42;31;24;28;41;66;n/d;30;38;46;12;33;49;50;32;41;32;53;56;69;n/d;36;53;38;52;41;70;50;46;29;47;39;59;39;10;38;24
2020-01-25;11;42;39;32;45;31;28;33;44;64;n/d;42;50;43;9;38;51;62;48;40;34;51;67;60;n/d;31;60;41;54;42;72;64;50;32;51;40;72;43;8;39;25
2020-01-25;12;44;45;32;51;31;25;41;43;73;n/d;46;48;40;10;44;54;61;51;41;36;61;59;74;n/d;29;64;42;63;41;83;57;57;32;62;41;81;45;14;41;28
2020-01-25;13;48;49;33;55;31;25;39;50;79;n/d;46;51;40;11;46;59;71;52;43;44;56;68;89;n/d;29;64;46;72;48;79;61;62;30;64;47;75;49;9;55;27
2020-01-25;14;56;55;41;61;34;26;44;54;83;n/d;47;56;42;11;48;63;78;51;44;46;64;71;103;n/d;28;78;51;73;52;97;66;64;34;68;54;81;53;58;59;27
2020-01-25;15;61;61;44;65;38;30;43;57;96;n/d;39;58;46;10;55;68;83;53;46;52;64;75;94;n/d;29;80;56;79;62;86;72;68;38;73;62;78;59;62;62;27
2020-01-25;16;64;61;43;70;40;32;50;62;92;n/d;42;60;52;13;60;76;83;52;49;54;67;73;91;n/d;30;84;59;83;64;89;85;73;43;75;66;106;62;60;62;33
2020-01-25;17;66;57;45;65;42;32;47;65;88;n/d;48;64;56;20;51;72;86;44;54;49;75;92;108;n/d;33;87;59;75;67;90;89;79;45;76;63;103;55;61;64;36
2020-01-25;18;64;59;50;62;42;38;44;64;97;n/d;51;60;65;29;52;63;87;43;55;49;85;148;122;n/d;34;83;57;70;62;93;92;72;50;75;64;104;51;36;55;38
2020-01-25;19;66;51;53;65;42;37;46;57;95;n/d;49;63;64;25;57;64;90;57;56;53;86;137;75;n/d;36;80;55;67;60;90;93;66;51;65;62;100;53;25;49;42
2020-01-25;20;65;56;53;71;49;35;45;55;96;n/d;50;63;58;24;57;72;90;54;57;61;70;116;81;n/d;36;78;59;72;70;99;102;70;50;65;62;108;58;20;48;41
2020-01-25;21;65;57;50;74;45;36;43;54;99;n/d;43;58;51;20;n/d;63;82;66;58;57;53;77;90;n/d;37;77;58;80;77;89;121;75;46;69;68;110;64;14;51;35
2020-01-25;22;59;52;50;73;38;30;47;59;99;n/d;39;54;50;17;41;76;80;68;56;57;48;73;131;n/d;33;73;61;82;72;84;106;82;42;78;67;109;69;8;55;39
2020-01-25;23;51;47;53;71;39;25;46;56;100;n/d;41;45;48;12;34;80;68;62;51;51;37;65;141;n/d;30;64;50;81;67;87;80;84;35;78;64;92;66;7;55;40
2020-01-25;24;49;51;46;64;34;22;41;54;94;69;40;43;46;13;35;81;62;60;50;54;30;72;103;n/d;30;63;48;75;71;81;64;63;33;79;55;100;62;7;50;37
2020-01-26;1;45;49;45;64;34;20;37;54;90;63;37;42;43;14;35;54;61;56;45;53;32;61;69;n/d;27;58;52;72;65;76;54;57;29;67;48;91;61;6;49;34
2020-01-26;2;44;48;44;64;32;20;33;48;87;54;35;50;38;15;35;49;60;46;41;53;25;57;58;n/d;24;61;51;68;60;70;56;58;30;55;45;83;51;3;46;32
2020-01-26;3;n/d;50;39;61;31;18;32;51;71;54;34;46;34;18;29;49;58;36;n/d;47;19;41;n/d;n/d;16;58;n/d;58;50;56;54;53;31;57;45;74;51;4;43;29
2020-01-26;4;46;47;34;56;30;17;32;50;65;54;35;45;30;22;29;50;58;34;41;45;20;53;n/d;n/d;17;57;n/d;57;42;58;48;52;26;54;41;66;46;3;41;25
2020-01-26;5;40;44;32;52;29;19;34;45;66;53;35;40;26;22;30;44;48;32;38;39;19;57;n/d;n/d;16;53;n/d;47;39;53;40;47;25;51;38;63;42;3;38;25
2020-01-26;6;37;42;33;49;24;19;35;43;71;53;37;38;27;20;31;42;44;36;36;38;25;58;n/d;n/d;16;45;n/d;52;36;49;40;42;25;49;38;54;41;6;37;26
