date;heure;PA01H;LOGNES;MELUN;VILLEM;CERGY;PA13;RUR-E;RUR-NO;RUR-SE;ULIS;CHAMP;PA18;MANT;RUR_S;RUR-SO;VITRY;MONTG;NEUIL;RUR-NE;RAMBO;EIFF3;RUR_N;TREMB
;;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3
2020-01-25;1;2;6;0;1;2;1;6;4;2;5;0;3;6;3;n/d;6;2;3;2;4;83;2;1
2020-01-25;2;2;7;0;0;2;1;4;4;2;4;0;3;6;3;n/d;4;2;3;2;4;86;2;1
2020-01-25;3;2;5;0;0;1;1;5;4;2;4;0;3;6;3;n/d;5;2;2;2;3;81;2;2
2020-01-25;4;1;5;0;0;1;1;2;4;2;3;0;2;6;3;n/d;5;2;2;1;3;73;2;1
2020-01-25;5;1;4;0;0;0;1;3;3;2;4;0;2;6;3;n/d;5;2;2;1;3;73;1;1
2020-01-25;6;1;5;0;0;0;0;2;3;2;4;0;2;5;3;n/d;5;1;2;4;2;36;4;1
2020-01-25;7;1;6;0;0;0;0;4;3;2;3;0;2;4;3;n/d;3;1;1;5;3;40;9;2
2020-01-25;8;1;7;0;0;0;0;5;3;3;3;0;2;4;2;n/d;5;2;2;3;3;58;7;2
2020-01-25;9;2;8;0;1;2;1;7;5;7;4;0;2;4;3;n/d;5;2;3;16;3;55;8;3
2020-01-25;10;3;6;2;2;4;2;8;9;13;5;1;3;5;5;n/d;5;3;3;16;5;55;8;4
2020-01-25;11;3;8;2;2;4;3;15;12;26;7;2;4;7;9;n/d;6;3;4;16;9;59;12;6
2020-01-25;12;5;8;5;2;4;4;29;10;26;9;2;4;8;12;n/d;8;6;3;14;10;58;14;6
2020-01-25;13;6;9;8;4;4;4;28;9;24;12;4;5;8;17;n/d;10;11;3;18;10;65;16;8
2020-01-25;14;5;9;10;4;4;4;39;9;30;11;3;4;9;22;n/d;10;11;3;15;14;12;14;10
2020-01-25;15;5;9;8;5;4;4;42;6;37;12;3;4;8;25;n/d;12;9;3;14;16;11;10;9
2020-01-25;16;5;6;5;3;2;3;35;5;32;9;2;4;9;22;n/d;8;6;3;21;12;13;7;6
2020-01-25;17;3;5;4;2;2;2;32;4;19;4;1;4;10;19;n/d;6;3;3;26;5;10;3;2
2020-01-25;18;2;4;2;1;2;2;33;4;8;4;2;3;11;6;n/d;7;3;3;32;3;21;3;6
2020-01-25;19;2;6;1;2;3;2;26;4;6;4;5;4;14;2;n/d;7;6;2;34;3;31;6;5
2020-01-25;20;2;6;2;2;3;2;25;4;3;4;4;4;14;2;n/d;8;6;3;32;3;37;2;3
2020-01-25;21;2;5;3;2;2;2;20;4;4;3;1;4;17;2;n/d;7;4;4;30;2;46;2;4
2020-01-25;22;2;4;4;2;6;2;17;3;4;3;1;5;17;3;n/d;6;5;5;30;4;61;3;5
2020-01-25;23;3;4;3;3;5;2;13;4;3;3;0;5;18;2;n/d;7;3;5;31;4;68;2;3
2020-01-25;24;2;4;2;1;5;2;12;4;4;3;1;4;18;5;n/d;7;3;3;30;5;68;2;5
2020-01-26;1;1;4;1;0;6;2;14;4;5;3;0;3;18;6;n/d;8;3;3;27;5;70;2;4
2020-01-26;2;2;4;1;0;2;3;10;4;4;4;0;2;17;13;n/d;7;2;4;24;6;81;2;1
2020-01-26;3;3;3;0;n/d;3;3;13;5;4;12;0;4;17;19;n/d;7;3;3;19;10;72;2;1
2020-01-26;4;3;6;0;0;3;3;13;4;5;22;0;3;17;25;n/d;7;2;2;17;13;86;2;1
2020-01-26;5;1;10;0;0;2;2;16;3;6;20;0;2;17;23;n/d;5;2;2;20;10;75;2;1
2020-01-26;6;1;15;0;0;2;2;18;3;7;21;0;2;16;23;n/d;5;2;2;23;13;67;2;1
2020-01-26;7;1;13;0;0;2;1;19;3;4;22;0;2;14;24;n/d;5;2;2;23;14;63;2;1
2020-01-26;8;1;9;0;0;2;1;19;3;11;24;1;2;13;26;n/d;5;2;2;22;16;63;2;1
2020-01-26;9;1;10;0;1;1;2;21;9;15;27;1;3;9;31;n/d;5;4;2;21;16;57;2;2
2020-01-26;10;2;11;2;1;3;2;24;13;27;28;3;4;13;29;n/d;7;6;9;21;16;53;3;3
2020-01-26;11;5;18;6;6;4;5;32;30;31;33;8;6;25;38;n/d;11;13;10;23;17;40;6;5
2020-01-26;12;6;22;21;8;21;7;38;38;37;32;11;6;42;37;n/d;13;18;13;23;27;54;13;9
2020-01-26;13;11;24;25;9;41;10;41;46;41;31;8;12;42;41;n/d;14;20;20;23;40;44;23;14
2020-01-26;14;20;30;23;12;46;16;45;49;43;44;21;25;45;47;n/d;25;28;27;28;49;46;39;17
2020-01-26;15;34;41;25;26;51;33;44;51;47;50;32;37;49;53;n/d;43;35;32;35;51;56;47;24
2020-01-26;16;30;43;37;32;48;31;53;55;46;51;35;36;49;52;n/d;35;39;33;41;47;56;45;35
2020-01-26;17;21;29;28;17;42;17;48;56;40;46;15;27;45;47;n/d;23;28;18;41;40;60;41;27
2020-01-26;18;8;27;16;5;33;7;44;48;44;39;14;14;44;47;n/d;9;27;12;39;36;57;35;20
2020-01-26;19;5;34;17;11;36;6;44;51;48;44;24;9;49;41;n/d;16;33;6;42;46;56;27;25
2020-01-26;20;10;38;32;21;44;15;45;53;50;50;26;14;52;45;n/d;27;36;15;43;51;55;28;35
2020-01-26;21;17;45;42;28;55;20;49;58;51;52;31;21;55;47;n/d;27;43;28;48;53;58;36;39
2020-01-26;22;27;45;43;34;55;30;51;59;51;54;36;28;53;51;n/d;38;48;37;50;53;60;49;42
2020-01-26;23;37;51;43;38;54;33;51;57;51;56;45;40;51;53;n/d;42;48;38;50;54;61;53;45
2020-01-26;24;38;54;47;40;56;36;52;58;55;56;44;42;54;54;n/d;46;47;42;53;55;62;54;45
2020-01-27;1;44;52;45;41;58;42;51;60;54;57;40;46;58;58;n/d;47;49;47;54;60;63;55;48
2020-01-27;2;52;54;45;44;60;48;54;64;55;60;43;52;60;62;n/d;50;51;50;55;61;66;57;51
2020-01-27;3;54;59;48;48;60;53;54;66;57;60;51;55;61;62;n/d;56;55;51;57;64;66;60;54
