date;heure;PA01H;GEN;LOGNES;PA15L;CERGY;NOGENT;A1;DEF;RUR-NO;PA18;OPERA;BOB;RUR_S;RN6;RN2;HAUS;AUT;VITRY;RD934;BASCH;ELYS;RAMBO;BP_EST;TREMB
;;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3
2020-01-25;1;75;55;31;77;46;49;57;78;42;70;82;47;62;39;55;82;90;47;71;83;69;33;62;30
2020-01-25;2;75;56;24;71;45;45;69;80;39;70;77;43;63;47;55;77;93;45;70;92;71;38;66;25
2020-01-25;3;75;64;26;70;42;38;70;77;39;67;74;37;65;54;44;66;66;37;63;67;73;35;59;25
2020-01-25;4;71;54;24;70;37;41;46;72;36;60;71;28;65;61;40;70;95;39;63;63;63;38;57;26
2020-01-25;5;55;42;23;78;26;42;40;61;30;44;62;28;67;54;39;41;80;41;63;60;44;43;42;23
2020-01-25;6;40;29;24;29;26;35;31;41;31;32;40;34;70;54;37;42;53;36;54;46;35;43;48;25
2020-01-25;7;41;26;26;37;25;31;42;30;22;35;40;28;55;52;41;36;51;34;54;43;36;53;44;30
2020-01-25;8;45;33;28;40;17;36;51;36;17;37;45;34;48;55;43;46;57;32;66;42;44;42;58;30
2020-01-25;9;43;38;29;33;16;31;60;42;17;41;44;35;50;71;48;50;50;33;66;50;44;34;46;26
2020-01-25;10;46;45;36;36;25;35;60;52;15;50;50;51;47;78;59;57;57;49;65;63;51;35;41;26
2020-01-25;11;52;51;40;44;32;52;64;54;23;57;58;59;43;82;71;70;64;49;66;83;59;36;91;31
2020-01-25;12;60;57;45;47;40;61;90;61;26;64;68;70;43;114;86;76;76;58;58;88;72;41;99;38
2020-01-25;13;66;58;49;58;52;66;101;69;38;71;77;69;39;106;99;83;100;62;51;89;74;40;93;44
2020-01-25;14;71;65;54;54;58;70;105;71;35;84;102;74;36;110;114;100;128;67;47;100;80;37;99;52
2020-01-25;15;79;71;61;62;53;72;121;74;40;87;105;93;36;96;119;105;117;79;38;105;89;37;95;60
2020-01-25;16;89;76;64;64;57;74;117;84;58;97;96;86;39;77;118;104;105;74;39;101;92;39;134;69
2020-01-25;17;87;79;68;63;56;75;84;96;63;105;100;77;37;63;98;91;131;70;45;91;93;44;117;66
2020-01-25;18;84;73;73;66;53;70;93;95;61;96;101;72;44;70;90;88;140;68;67;86;84;54;124;79
2020-01-25;19;85;70;75;58;59;69;106;86;59;89;99;88;53;92;97;90;71;71;61;76;76;57;119;105
2020-01-25;20;82;76;80;55;76;82;97;79;60;93;91;93;45;103;102;82;81;79;52;88;76;63;107;93
2020-01-25;21;84;80;86;60;67;88;94;85;69;86;95;114;46;93;116;86;85;82;53;79;80;48;117;83
2020-01-25;22;86;82;84;74;74;83;98;96;74;86;83;146;46;73;122;75;118;90;42;80;83;41;119;95
2020-01-25;23;78;84;58;72;77;95;87;96;71;110;70;140;44;71;133;66;135;63;45;76;84;40;106;95
2020-01-25;24;70;83;65;71;73;102;88;96;72;92;74;129;48;75;127;71;96;60;45;77;68;43;111;100
2020-01-26;1;70;79;61;73;75;105;101;71;69;96;70;129;43;71;118;66;77;77;43;94;68;46;103;113
2020-01-26;2;68;76;57;66;64;83;93;66;74;68;72;95;40;65;115;70;71;90;41;89;70;42;96;111
2020-01-26;3;72;75;53;72;62;68;98;62;80;65;75;76;36;62;93;82;79;84;39;77;74;40;96;80
2020-01-26;4;85;78;46;74;76;61;91;63;69;72;83;59;28;58;80;80;73;76;37;76;82;38;89;57
2020-01-26;5;84;77;43;63;68;53;86;58;58;72;87;50;28;54;59;68;68;65;38;70;76;42;76;51
2020-01-26;6;70;72;38;74;64;47;84;55;54;63;76;46;27;52;53;63;72;59;31;65;67;35;71;49
2020-01-26;7;64;69;37;56;60;46;67;52;59;57;57;41;26;52;45;53;63;51;33;72;n/d;32;61;47
2020-01-26;8;60;64;37;55;62;43;69;45;59;52;58;44;24;53;46;50;50;44;35;60;55;27;59;42
2020-01-26;9;57;55;38;44;52;42;66;37;32;52;59;43;21;47;52;47;50;38;40;55;48;32;63;43
2020-01-26;10;50;40;39;26;38;40;69;32;26;45;51;42;19;47;55;45;46;38;44;52;44;25;56;41
2020-01-26;11;52;32;37;15;34;37;67;32;20;45;46;44;28;49;54;53;31;48;41;58;42;23;61;43
2020-01-26;12;50;24;37;8;21;32;60;21;26;42;52;45;27;56;45;57;28;33;34;44;24;15;53;42
2020-01-26;13;44;21;35;15;18;35;58;19;20;38;57;42;22;42;45;42;32;55;31;45;30;26;46;35
2020-01-26;14;41;19;41;25;16;43;45;20;18;29;47;47;22;38;47;42;42;50;29;53;36;25;64;39
2020-01-26;15;37;21;34;20;22;38;46;25;24;30;40;35;24;39;40;40;52;27;28;40;32;26;41;48
2020-01-26;16;32;26;30;19;23;27;41;26;26;28;44;31;21;30;37;40;46;31;29;39;28;22;41;37
2020-01-26;17;32;25;29;25;25;28;42;25;26;27;53;29;20;33;45;42;42;28;25;38;29;26;51;31
2020-01-26;18;36;27;31;22;31;31;59;27;32;29;59;32;22;43;53;42;42;31;27;44;29;23;52;31
2020-01-26;19;35;28;29;28;31;34;55;30;24;33;50;30;24;31;39;41;50;27;25;42;36;23;52;39
2020-01-26;20;37;32;26;24;29;34;47;26;27;35;45;28;22;26;39;45;46;28;26;43;31;19;49;32
2020-01-26;21;37;30;24;21;23;30;44;23;24;33;47;28;21;24;35;35;32;30;21;38;32;21;42;30
2020-01-26;22;34;24;22;18;21;24;40;21;27;31;42;29;17;22;35;36;33;25;20;29;27;23;40;27
2020-01-26;23;29;23;23;15;23;22;41;24;26;26;38;27;25;23;34;25;27;21;17;29;23;24;32;24
2020-01-26;24;26;22;23;14;17;22;42;20;22;23;37;23;20;23;25;19;29;23;19;24;37;22;33;23
2020-01-27;1;22;17;21;18;19;19;29;19;18;20;26;20;20;20;20;22;23;18;23;19;27;26;34;20
2020-01-27;2;22;19;19;13;19;17;25;19;17;20;21;24;16;15;23;17;20;21;14;16;14;17;28;21
2020-01-27;3;20;15;18;14;13;16;20;16;11;17;18;18;14;19;17;16;22;16;19;20;16;12;24;18
2020-01-27;4;17;15;16;9;9;16;18;12;6;16;16;13;13;19;15;11;17;15;14;16;10;10;22;15
2020-01-27;5;13;11;14;5;9;13;27;9;2;13;14;11;10;14;12;11;19;16;17;12;13;8;28;12
2020-01-27;6;12;7;14;2;7;10;24;7;4;7;11;8;8;17;11;11;12;7;14;14;10;6;18;11
2020-01-27;7;10;6;11;5;n/d;7;27;6;7;6;10;9;8;14;10;9;18;8;10;13;11;9;18;11
2020-01-27;8;11;5;10;10;n/d;7;20;7;4;8;14;12;7;16;11;11;14;15;10;17;11;11;13;9
2020-01-27;9;17;7;10;7;n/d;9;28;12;3;10;23;20;8;15;18;16;20;13;13;12;15;10;14;9
2020-01-27;10;17;9;12;11;n/d;12;33;17;5;11;28;16;9;15;13;15;22;15;11;10;20;8;15;11
2020-01-27;11;17;9;9;7;n/d;10;26;8;3;11;31;18;8;16;14;16;18;12;10;13;15;11;9;11
2020-01-27;12;20;9;10;4;n/d;10;25;13;2;11;27;15;8;18;16;20;21;13;10;17;12;11;18;10
2020-01-27;13;20;10;12;8;n/d;13;32;13;9;14;15;16;8;21;14;19;19;13;11;13;15;13;18;12
2020-01-27;14;22;11;11;9;10;11;34;11;10;14;20;15;10;16;20;18;23;11;11;16;15;9;22;13
2020-01-27;15;21;10;9;5;8;10;45;11;7;11;14;10;7;18;17;20;13;9;7;16;11;10;21;9
2020-01-27;16;17;8;9;5;7;8;35;9;8;10;15;6;4;9;22;9;23;11;9;14;10;8;19;6
2020-01-27;17;12;7;9;6;8;8;22;9;10;9;19;4;4;13;9;11;15;9;9;11;9;6;16;7
2020-01-27;18;7;9;8;3;7;7;21;7;7;7;11;8;4;13;9;7;17;7;7;12;9;7;11;7
2020-01-27;19;11;8;7;3;7;3;29;8;8;7;12;6;3;13;12;11;20;11;8;10;6;10;13;6
2020-01-27;20;14;7;7;1;6;6;24;5;10;8;6;5;6;10;17;13;14;14;5;10;5;7;16;8
2020-01-27;21;12;4;7;0;9;4;22;8;9;6;7;8;4;11;8;10;13;10;5;9;7;10;11;7
2020-01-27;22;10;2;7;2;9;3;23;9;9;8;3;6;3;7;12;11;10;7;6;13;7;10;10;7
2020-01-27;23;8;5;7;4;8;7;16;3;10;7;9;6;4;6;10;14;10;6;5;13;7;7;13;10
2020-01-27;24;7;7;6;4;11;7;12;9;10;6;8;11;8;14;10;12;8;8;9;9;9;14;11;8
2020-01-28;1;10;7;9;6;13;6;14;7;18;8;12;8;7;9;9;9;6;8;11;11;8;9;9;9
2020-01-28;2;6;7;6;4;8;5;13;3;12;6;9;8;3;7;7;7;6;9;6;7;7;5;7;7
