date;heure;PA01H;GEN;GON;A1;RUR-SE;RN6;RUR_S;BOB;VITRY;AUT;RUR_N;RAMBO;BP_EST
;;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3
2020-01-25;1;60;44;20;44;38;41;55;40;45;63;16;26;52
2020-01-25;2;60;45;20;54;36;50;51;34;40;68;25;32;58
2020-01-25;3;58;52;22;50;37;47;52;37;36;53;22;32;57
2020-01-25;4;54;47;18;38;37;56;59;26;38;72;19;36;53
2020-01-25;5;45;36;16;30;41;45;61;23;35;59;15;41;36
2020-01-25;6;31;25;26;19;41;53;60;29;38;40;17;33;38
2020-01-25;7;30;23;22;29;37;46;53;28;31;41;14;38;36
2020-01-25;8;34;25;24;34;42;45;48;28;25;43;18;38;45
2020-01-25;9;32;26;20;45;34;59;43;28;33;38;13;31;40
2020-01-25;10;34;30;26;37;29;60;40;36;38;42;17;30;41
2020-01-25;11;40;37;36;40;25;62;39;46;43;50;20;29;55
2020-01-25;12;45;44;35;49;26;56;30;54;52;49;24;28;61
2020-01-25;13;49;46;30;47;27;54;31;58;55;66;29;32;64
2020-01-25;14;51;52;33;53;28;58;24;66;55;67;34;33;61
2020-01-25;15;56;55;36;65;16;53;33;72;67;65;34;29;64
2020-01-25;16;63;59;38;69;29;55;33;68;64;62;34;29;79
2020-01-25;17;62;62;45;51;29;53;31;62;56;76;38;35;76
2020-01-25;18;60;59;50;60;24;58;40;63;60;81;35;47;84
2020-01-25;19;64;55;44;65;24;77;43;80;63;58;42;49;80
2020-01-25;20;62;58;53;65;30;83;38;82;72;56;36;51;87
2020-01-25;21;65;66;52;66;27;84;43;97;73;60;34;36;93
2020-01-25;22;68;69;47;67;28;62;42;124;72;84;42;31;102
2020-01-25;23;62;72;56;58;26;66;43;126;56;91;43;33;90
2020-01-25;24;57;69;54;63;34;66;39;117;59;68;42;29;100
2020-01-26;1;59;67;47;75;43;76;36;119;73;72;42;38;90
2020-01-26;2;57;65;44;71;37;64;37;87;84;62;41;33;84
2020-01-26;3;60;65;46;75;33;60;33;70;78;63;44;31;81
2020-01-26;4;72;67;44;72;34;60;26;55;76;59;49;31;83
2020-01-26;5;72;66;42;70;29;49;25;44;65;66;42;23;73
2020-01-26;6;61;64;39;56;24;48;25;42;60;63;45;30;66
2020-01-26;7;55;61;38;52;32;49;25;40;50;64;43;24;52
2020-01-26;8;50;58;36;48;28;46;19;38;41;46;38;24;55
2020-01-26;9;48;48;35;43;23;42;18;35;34;38;39;23;58
2020-01-26;10;39;31;37;40;25;41;19;35;35;32;41;20;51
2020-01-26;11;38;23;38;47;22;40;18;36;39;22;34;16;48
2020-01-26;12;39;18;31;33;16;29;15;36;32;24;20;15;46
2020-01-26;13;32;16;30;32;19;24;15;32;28;21;21;9;37
2020-01-26;14;28;16;22;20;16;26;17;35;26;26;9;12;35
2020-01-26;15;22;16;17;18;11;21;12;21;16;20;13;12;25
2020-01-26;16;19;18;18;15;11;20;15;18;17;15;16;16;23
2020-01-26;17;18;16;17;19;11;23;9;19;21;19;15;10;32
2020-01-26;18;21;18;20;28;7;29;11;19;29;21;17;10;41
2020-01-26;19;23;18;21;25;9;17;17;22;23;25;18;13;30
2020-01-26;20;23;20;23;26;10;17;16;17;24;19;15;8;31
2020-01-26;21;25;19;17;26;7;12;8;20;16;13;14;8;30
2020-01-26;22;21;14;17;16;8;10;9;17;14;11;14;10;23
2020-01-26;23;15;13;12;17;9;12;11;12;15;14;12;10;16
2020-01-26;24;13;13;12;6;8;16;10;15;12;9;10;7;13
2020-01-27;1;11;11;14;4;11;14;10;15;12;11;8;14;14
2020-01-27;2;9;10;12;3;9;13;9;10;9;10;11;8;14
2020-01-27;3;9;9;9;4;5;11;6;9;7;8;9;6;12
2020-01-27;4;9;8;8;8;7;12;6;11;8;8;9;4;12
2020-01-27;5;7;7;10;8;8;9;11;8;6;6;5;3;11
2020-01-27;6;7;6;9;8;6;10;6;n/d;7;5;0;3;11
2020-01-27;7;7;6;7;7;9;10;3;7;11;9;3;7;10
2020-01-27;8;7;4;5;4;7;9;5;7;12;6;3;8;11
2020-01-27;9;9;5;11;4;4;11;3;7;9;11;2;5;10
2020-01-27;10;10;7;9;14;5;10;n/d;n/d;9;10;1;4;8
2020-01-27;11;8;6;7;11;5;8;7;9;7;10;1;7;11
2020-01-27;12;9;6;6;10;6;15;4;13;9;12;2;4;11
