date;heure;RUR-SE;AUT;VITRY;NEUIL;AUB;EIFF3
;;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3
2020-01-25;1;1;2;2;2;1;n/d
2020-01-25;2;1;2;2;2;2;n/d
2020-01-25;3;1;1;2;2;2;n/d
2020-01-25;4;1;3;2;2;2;n/d
2020-01-25;5;1;6;2;2;1;n/d
2020-01-25;6;1;6;2;1;1;n/d
2020-01-25;7;1;4;1;1;1;n/d
2020-01-25;8;1;2;1;1;1;n/d
2020-01-25;9;1;1;1;1;1;n/d
2020-01-25;10;1;1;1;1;1;n/d
2020-01-25;11;1;2;2;2;1;n/d
2020-01-25;12;1;3;2;3;1;n/d
2020-01-25;13;1;4;2;3;2;n/d
2020-01-25;14;1;4;3;3;2;n/d
2020-01-25;15;1;4;3;4;2;n/d
2020-01-25;16;1;4;2;4;3;n/d
2020-01-25;17;1;4;2;3;2;n/d
2020-01-25;18;1;4;2;3;2;n/d
2020-01-25;19;1;3;2;2;2;n/d
2020-01-25;20;1;3;2;3;3;n/d
2020-01-25;21;1;4;2;3;4;n/d
2020-01-25;22;1;5;3;4;4;n/d
2020-01-25;23;1;6;2;4;5;n/d
2020-01-25;24;1;4;2;4;5;n/d
2020-01-26;1;1;2;0;2;3;n/d
2020-01-26;2;1;2;0;1;3;n/d
2020-01-26;3;1;1;0;2;2;n/d
2020-01-26;4;1;2;0;1;1;n/d
2020-01-26;5;1;1;0;1;0;n/d
2020-01-26;6;1;1;0;1;0;n/d
2020-01-26;7;1;1;0;1;0;n/d
2020-01-26;8;1;1;0;2;0;n/d
2020-01-26;9;1;2;0;1;0;n/d
2020-01-26;10;1;2;0;1;0;n/d
2020-01-26;11;1;2;0;1;0;n/d
2020-01-26;12;1;2;0;1;0;n/d
2020-01-26;13;1;1;0;1;0;n/d
2020-01-26;14;1;0;0;1;0;n/d
2020-01-26;15;1;1;0;1;0;n/d
2020-01-26;16;0;1;0;1;0;n/d
2020-01-26;17;0;0;0;1;0;n/d
2020-01-26;18;1;0;0;1;0;n/d
2020-01-26;19;1;1;0;1;0;n/d
2020-01-26;20;1;1;0;1;0;n/d
2020-01-26;21;1;1;0;1;0;n/d
2020-01-26;22;1;0;1;1;0;n/d
2020-01-26;23;1;0;0;0;0;n/d
2020-01-26;24;1;0;0;0;0;n/d
2020-01-27;1;1;0;1;0;2;n/d
2020-01-27;2;1;1;1;0;2;n/d
2020-01-27;3;0;1;1;0;2;n/d
2020-01-27;4;0;1;1;0;2;n/d
2020-01-27;5;0;1;1;0;1;n/d
2020-01-27;6;0;2;1;0;1;n/d
2020-01-27;7;1;2;2;0;2;n/d
2020-01-27;8;1;2;2;0;2;n/d
2020-01-27;9;1;2;2;0;2;n/d
2020-01-27;10;1;n/d;2;n/d;2;n/d
2020-01-27;11;1;2;2;0;2;n/d
2020-01-27;12;1;2;2;0;2;n/d
2020-01-27;13;1;2;2;n/d;2;n/d
2020-01-27;14;1;3;2;n/d;2;n/d
2020-01-27;15;1;3;2;n/d;2;n/d
2020-01-27;16;1;2;2;0;2;n/d
2020-01-27;17;1;2;2;0;1;n/d
2020-01-27;18;1;2;2;0;2;n/d
2020-01-27;19;1;2;2;0;2;n/d
2020-01-27;20;1;2;2;0;2;n/d
2020-01-27;21;1;2;3;0;2;n/d
